question,reponse
Je veux cuisiner chinois,Pour de la cuisine chinoise : avez-vous du riz de la sauce soja du gingembre ou du tofu ?
Je veux cuisiner grec,Pour de la cuisine grecque : avez-vous de la feta des olives du concombre ou de l'agneau ?
Je veux cuisiner turc,Pour de la cuisine turque : avez-vous de l'agneau du yaourt du boulgour ou des aubergines ?
Je veux cuisiner coréen,Pour de la cuisine coréenne : avez-vous de la sauce gochujang du kimchi ou du sesame ?
Je veux cuisiner vietnamien,Pour de la cuisine vietnamienne : avez-vous des vermicelles de riz de la menthe ou du citron vert ?
Je veux cuisiner brésilien,Pour de la cuisine brésilienne : avez-vous du riz des haricots noirs de la viande ou du manioc ?
Je veux cuisiner américain,Pour de la cuisine américaine : avez-vous du bœuf haché du cheddar des cornichons ou du bacon ?
Je veux cuisiner péruvien,Pour de la cuisine péruvienne : avez-vous de la patate douce du quinoa ou des piments ají ?
Je veux cuisiner éthiopien,Pour de la cuisine éthiopienne : avez-vous du berbéré des lentilles ou de l'injera ?
Je veux cuisiner portugais,Pour de la cuisine portugaise : avez-vous de la morue de l'huile d'olive ou du riz ?
Je veux cuisiner iranien,Pour de la cuisine iranienne : avez-vous du safran des herbes fraîches ou de l'agneau ?
Je veux cuisiner algérien,Pour de la cuisine algérienne : avez-vous du couscous de l'agneau ou des épices maghrébines ?
Je veux cuisiner tunisien,Pour de la cuisine tunisienne : avez-vous de l'harissa du poisson ou du couscous ?
Je veux cuisiner sénégalais,Pour de la cuisine sénégalaise : avez-vous du riz du poisson du yassa ou du thiéboudienne ?
Je veux cuisiner mexicain authentique,Pour un plat mexicain authentique : avez-vous des piments séchés ancho mulato ou guajillo ?
Je veux cuisiner cajun,Pour la cuisine cajun : avez-vous des crevettes du poulet des épices et du riz ?
Je veux cuisiner tex-mex,Pour le tex-mex : avez-vous des tortillas du fromage de la viande hachée et de la salsa ?
Je veux cuisiner cubain,Pour la cuisine cubaine : avez-vous du porc du riz des haricots noirs et de l'ail ?
Je veux cuisiner caribéen,Pour la cuisine caribéenne : avez-vous du poulet des épices des haricots et du riz ?
Je veux cuisiner scandinave,Pour la cuisine scandinave : avez-vous du saumon de l'aneth des betteraves ou du hareng ?
Je veux cuisiner allemand,Pour la cuisine allemande : avez-vous du porc de la choucroute des pommes de terre ou du chou ?
Je veux cuisiner belge,Pour la cuisine belge : avez-vous des moules des frites de la bière ou du chocolat ?
Je veux cuisiner hollandais,Pour la cuisine hollandaise : avez-vous des harengs du fromage Gouda ou des bitterballen ?
Je veux cuisiner polonais,Pour la cuisine polonaise : avez-vous du chou de la viande des champignons ou des betteraves ?
Je veux cuisiner russe,Pour la cuisine russe : avez-vous du chou des betteraves de la crème aigre ou du bœuf ?
Je veux cuisiner ukrainien,Pour la cuisine ukrainienne : avez-vous des betteraves du chou du bœuf ou des pommes de terre ?
Je veux cuisiner indonésien,Pour la cuisine indonésienne : avez-vous de la sauce de soja du lait de coco des épices ou du tempe ?
Je veux cuisiner malaisien,Pour la cuisine malaisienne : avez-vous du lait de coco de la citronnelle du curcuma ou du riz ?
Je veux cuisiner philippin,Pour la cuisine philippine : avez-vous du vinaigre de la sauce soja de l'ail ou du porc ?
Je veux cuisiner cambodgien,Pour la cuisine cambodgienne : avez-vous du lait de coco de la citronnelle ou des herbes fraîches ?
Je veux cuisiner éthiopien,Pour la cuisine éthiopienne : avez-vous des lentilles du berbéré ou de l'injera ?
Je veux cuisiner mexicain végétarien,Pour un plat mexicain végétarien : avez-vous des haricots de l'avocat des poivrons et des épices ?
Je veux cuisiner moyen-oriental,Pour la cuisine moyen-orientale : avez-vous du houmous du tahini du pita ou des épices comme le za'atar ?
Je veux cuisiner du street food,Pour du street food : tacos hamburgers hotdogs ou kebabs ! Quels ingrédients avez-vous ?
Je veux cuisiner fusion,Pour une cuisine fusion : mélangez des ingrédients de différentes cultures ! Quels ingrédients avez-vous ?
Je veux cuisiner sans viande à l'asiatique,Pour la cuisine asiatique végétarienne : tofu tempeh edamame et légumes wok sont parfaits !
Recette du monde avec du riz,Le riz est universel : risotto italien paella espagnol riz cantonais ou biryani indien. Qu'avez-vous ?
Recette du monde avec du poulet,Le poulet est dans toutes les cuisines : curry indien tagine marocain yakitori japonais. Qu'avez-vous ?
Recette épicée,Pour une recette épicée : curry indien mexicain ou thaï ? Quel niveau de piquant aimez-vous ?
Recette douce et sucrée-salée,Pour le sucré-salé : canard à l'orange poulet au miel ou porc à l'ananas. Quels ingrédients ?
Je veux quelque chose de rapide,Donnez-moi vos ingrédients et je vous trouve une recette en moins de 20 minutes !
J'ai pas beaucoup de temps,Pas de problème ! Donnez-moi vos ingrédients et je vous trouve une recette en moins de 15 minutes !
Recette en 10 minutes,Listez vos ingrédients et je vous trouve la recette la plus rapide !
Recette rapide s'il vous plaît,Dites-moi ce que vous avez dans votre frigo et je vous recommande quelque chose de rapide !
J'ai 30 minutes pour cuisiner,30 minutes c'est parfait ! Listez vos ingrédients et je vous trouve une recette adaptée !
Recette express,Pour une recette express : listez vos ingrédients et je vous trouve quelque chose en moins de 15 min !
Je suis pressé,Je comprends ! Donnez-moi vos ingrédients et je vous suggère la recette la plus rapide possible !
Pas le temps de cuisiner,Pour un repas ultra-rapide : œufs salade sandwich ou soupe express. Quels ingrédients avez-vous ?
Recette en moins de 5 minutes,Pour 5 minutes : smoothie salade ou sandwich. Quels ingrédients avez-vous ?
Recette facile s'il vous plaît,Bien sûr ! Donnez-moi vos ingrédients et je vous trouve quelque chose de simple et rapide !
Je suis débutant en cuisine,Pas de souci ! Je vous recommande des recettes faciles étape par étape. Quels ingrédients ?
Je ne sais pas cuisiner,Aucun problème ! Meatay vous guide avec des recettes simples. Listez vos ingrédients !
Recette pour débutant,Listez vos ingrédients et je vous guide avec une recette simple et claire !
Je suis un bon cuisinier,Donnez-moi vos ingrédients et je vous propose des recettes élaborées et savoureuses !
Je veux me dépasser en cuisine,Excellent esprit ! Listez vos ingrédients et je vous défie avec une recette plus élaborée !
Recette de chef,Pour une recette de chef : quels ingrédients avez-vous ? Je vous propose quelque chose de raffiné !
Recette gastronomique,Pour de la gastronomie : listez vos ingrédients et je vous propose une recette haute cuisine !
Je veux apprendre à cuisiner,Meatay est parfait pour apprendre ! Commencez par une recette simple. Quels ingrédients avez-vous ?
Recette one pot,Pour une recette one pot : tout se cuit dans un seul plat ! Quels ingrédients avez-vous ?
Recette sans vaisselle,Pour minimiser la vaisselle : recettes en papillote ou sur plaque de four ! Quels ingrédients ?
Je veux faire quelque chose de simple,Listez vos ingrédients et je vous propose quelque chose de facile et délicieux !
Recette de la semaine,Pour planifier vos repas de la semaine : listez vos ingrédients et je vous organise un menu !
Recette du dimanche,Pour le dimanche : un plat mijoté un rôti ou un dessert élaboré. Quels ingrédients avez-vous ?
Repas pour toute la semaine,Meal prep : cuisinez en grande quantité le dimanche pour toute la semaine. Quels ingrédients ?
Je veux faire du meal prep,Pour le meal prep : des recettes qui se conservent et se réchauffent bien. Quels ingrédients ?
Recette en une seule étape,Pour une recette ultra simple : mixez tout et enfournez ou sautez à la poêle ! Quels ingrédients ?
Recette sans préparation,Pour une recette sans préparation : salade assemblée sandwich ou plateau de charcuterie !
Pas envie de cuisiner,Je comprends ! Pour les soirs sans motivation : pâtes sauce tomate ou œufs au plat !
Cuisine simple et bon,La meilleure cuisine est souvent la plus simple ! Listez vos ingrédients et je vous aide !
Recette pour deux personnes,Pour 2 personnes : listez vos ingrédients et j'ajuste les quantités de la recette !
Recette pour 4 personnes,Pour 4 personnes : listez vos ingrédients et j'ajuste les quantités de la recette !
Recette pour 10 personnes,Pour 10 personnes : listez vos ingrédients et j'adapte une recette en grande quantité !
Je cuisine seul,Pour une personne : listez vos ingrédients et j'adapte les quantités pour éviter le gaspillage !
Je cuisine pour un enfant,Pour un enfant : recettes simples non épicées et colorées. Quels ingrédients avez-vous ?
Je cuisine pour des seniors,Pour des seniors : recettes tendres riches en calcium et faciles à mastiquer. Quels ingrédients ?
Recette pour batch cooking,Pour le batch cooking : cuisinez boulettes de viande soupes sauces et céréales en avance !
Je veux minimiser le temps en cuisine,Pour gagner du temps : recettes one pot légumes rôtis et marinades préparées à l'avance !
Recette facile pour les enfants,Pour cuisiner avec les enfants : pizza crêpes ou cookies sont parfaits. Quels ingrédients ?
Je veux apprendre une nouvelle technique,Quelle technique vous intéresse ? Béchamel caramel soufflé ou autre ? Je vous guide !
Recette sans cuisson,Pour une recette sans cuisson : salade gaspacho tartare ou desserts froids. Quels ingrédients ?
Je veux une recette pas chère,Pour un repas économique : pâtes riz lentilles et œufs sont vos meilleurs alliés. Quels ingrédients ?
Je veux cuisiner avec ce que j'ai dans mes placards,Listez ce que vous avez et je cherche parmi nos recettes la meilleure combinaison possible !
Recette anti-gaspi,Listez tous vos ingrédients même ceux qui arrivent à expiration et je vous trouve comment les utiliser !
Je veux cuisiner avec les restes,Dites-moi vos restes et je vous propose une recette créative pour les utiliser !
Recette économique,Pour cuisiner économique : légumineuses céréales et légumes de saison sont vos alliés. Quels ingrédients ?
Je suis étudiant je n'ai pas d'argent,Pour un budget étudiant : pâtes riz lentilles et œufs font des miracles. Quels ingrédients as-tu ?
Recette avec des ingrédients basiques,Avec des basiques (farine œufs lait huile) on peut faire énormément ! Qu'avez-vous ?
Comment cuisiner avec peu d'ingrédients ?,Les meilleures recettes n'ont parfois que 5 ingrédients ! Listez ce que vous avez !
Recette avec ce que j'ai,Listez simplement tout ce que vous avez à disposition et je vous trouve la meilleure recette !
Recette bon marché,Pour cuisiner bon marché : riz pâtes légumineuses et légumes de saison sont parfaits !
Je n'ai presque rien dans le frigo,Pas de panique ! Dites-moi ce que vous avez et je trouve une solution créative !
Recette avec du pain rassis,Avec du pain rassis : pain perdu soupe à l'oignon gratinée ou chapelure maison !
Je veux utiliser mes restes de poulet,Avec du poulet cuit : salade de poulet sandwich riz sauté ou soupe de poulet !
Je veux utiliser mes restes de riz,Avec du riz cuit : riz sauté aux œufs arancini ou riz au lait pour un dessert !
Je veux utiliser mes restes de pâtes,Avec des pâtes cuites : frittata de pâtes salade de pâtes ou gratin de pâtes !
Recette avec des légumes abîmés,Des légumes abîmés font d'excellentes soupes et sauces ! Listez ce que vous avez !
Comment ne pas gaspiller la nourriture ?,Planifiez vos repas en avance congelez ce qui reste et utilisez tous les légumes dans des soupes !
Recette avec des fruits trop mûrs,Des fruits trop mûrs font d'excellentes compotes smoothies et gâteaux ! Qu'avez-vous ?
Je veux cuisiner bio pas cher,Pour bio économique : légumineuses grains entiers et légumes de saison du marché local !
Recette avec seulement 3 ingrédients,Avec 3 ingrédients on peut faire des merveilles ! Listez vos 3 ingrédients !
Je veux scanner mes ingrédients,Utilisez la fonction scan pour prendre une photo de vos aliments et Meatay les reconnaît automatiquement !
Comment scanner mes aliments ?,Appuyez sur le bouton scan prenez une photo et Meatay identifie vos ingrédients pour vous !
La caméra ne fonctionne pas,Vérifiez les permissions de la caméra dans les paramètres de votre téléphone !
Puis-je entrer mes ingrédients manuellement ?,Oui ! Tapez simplement vos ingrédients séparés par des virgules et j'analyse votre liste !
L'ingrédient n'est pas reconnu,Je n'ai pas reconnu cet ingrédient. Pouvez-vous le reformuler ou l'écrire différemment ?
Ingrédient introuvable,Cet ingrédient n'est pas dans ma base. Essayez un synonyme ou un terme plus générique !
Je ne trouve pas ma recette,Essayez avec d'autres ingrédients ou des termes plus simples. Je cherche parmi 160 000 recettes !
Je ne comprends pas,Pouvez-vous reformuler ? Par exemple : dites-moi quels ingrédients vous avez et je vous aide !
Aide,Je suis Meatay votre assistant culinaire ! Listez vos ingrédients et je vous recommande une recette !
Comment ça marche ?,Listez vos ingrédients (ex: j'ai du poulet du citron et de l'ail) et Meatay vous recommande les meilleures recettes !
Je ne sais pas quoi faire,Commencez par me dire ce que vous avez dans votre frigo et je m'occupe du reste !
L'application est super,Merci ! Nous travaillons continuellement pour améliorer Meatay et vous proposer de meilleures recettes !
Je n'aime pas cette recette,Désolé ! Dites-moi ce que vous n'aimez pas et je vous propose une alternative mieux adaptée !
La recette était délicieuse,Super ! Nous sommes ravis que vous ayez apprécié. Revenez quand vous voulez !
Recette trop compliquée,Je vous propose une version simplifiée. Quels ingrédients avez-vous ?
Je n'ai pas tous les ingrédients,Pas de problème ! Listez ce que vous avez et je vous trouve une recette adaptée !
L'ingrédient est en français,Pas de souci ! Écrivez en français et Meatay traduit automatiquement pour trouver les meilleures recettes !
Je ne parle pas anglais,Pas de problème ! Écrivez en français et je comprends parfaitement !
Peux-tu me donner une recette ?,Bien sûr ! Dites-moi quels ingrédients vous avez et je vous trouve la recette parfaite !
Je ne sais pas quoi cuisiner ce soir,Dites-moi ce que vous avez dans votre frigo et je vous inspire pour le dîner de ce soir !
C'est l'été je veux une recette fraîche,Pour l'été : des salades gaspachos et plats froids. Quels ingrédients avez-vous ?
C'est l'hiver je veux quelque chose de chaud,Pour l'hiver : des soupes ragoûts et plats réconfortants. Quels ingrédients avez-vous ?
Recette de saison,Quels ingrédients de saison avez-vous ? Je vous recommande la recette la plus adaptée !
Il fait chaud je veux manger froid,Pour un repas froid : gaspacho salade taboulé ou ceviche. Quels ingrédients avez-vous ?
Il fait froid je veux une soupe,Pour vous réchauffer : soupe à l'oignon velouté de courge ou potée. Quels ingrédients avez-vous ?
Recette d'automne,En automne : courges champignons pommes et châtaignes sont de saison. Quels ingrédients avez-vous ?
Recette de printemps,Au printemps : asperges petits pois radis et herbes fraîches sont parfaits. Quels ingrédients ?
Légumes de saison,Quels légumes avez-vous ? Je vous indique comment les cuisiner au mieux selon la saison !
Fruits de saison,Quels fruits avez-vous ? Je vous propose des recettes adaptées selon la saison !
Recette pour mauvais temps,Par mauvais temps : plat mijoté gratins et soupes réconfortantes. Quels ingrédients avez-vous ?
Recette d'été sans cuisson,Pour l'été sans cuisson : gaspacho taboulé ceviche ou salade César. Quels ingrédients ?
Recette pour pique-nique été,Pour un pique-nique estival : quiche sandwiches salades et fruits. Quels ingrédients avez-vous ?
Glace maison,Pour une glace maison : avez-vous de la crème du lait du sucre et des fruits ou du chocolat ?
Boisson fraîche maison,Pour une boisson fraîche : limonade thé glacé infusion froide ou smoothie. Quels fruits avez-vous ?
Recette pour Halloween,Pour Halloween : soupe de citrouille biscuits en forme de fantôme ou punch rouge !
Recette de Noël,Pour Noël : bûche de Noël foie gras saumon fumé ou dinde rôtie. Quels ingrédients ?
Recette de la Chandeleur,Pour la Chandeleur : des crêpes bien sûr ! Avez-vous farine lait œufs et beurre ?
Recette du 14 juillet,Pour le 14 juillet : barbecue estival et desserts tricolores. Quels ingrédients avez-vous ?
Recette de Pâques,Pour Pâques : gigot d'agneau asperges et œufs en chocolat. Quels ingrédients avez-vous ?
Recette du Ramadan,Pour le Ramadan : des recettes nourrissantes pour l'iftar. Quels ingrédients avez-vous ?
Je veux faire une limonade,Pour une limonade maison : avez-vous des citrons du sucre et de l'eau pétillante ?
Je veux faire un cocktail,Pour un cocktail : quels fruits ou alcools avez-vous ? Je vous propose une recette adaptée !
Je veux faire un mocktail,Pour un mocktail sans alcool : avez-vous des fruits du sirop et de l'eau gazeuse ?
Je veux faire un thé glacé,Pour un thé glacé : faites infuser du thé ajoutez citron sucre et réfrigérez !
Je veux faire une tisane,Pour une tisane : avez-vous de la menthe du gingembre de la camomille ou du citron ?
Je veux faire du café glacé,Pour un café glacé : expresso refroidi sur des glaçons avec lait ou crème !
Je veux faire une citronnade,Pour une citronnade : avez-vous des citrons du sucre et de l'eau ?
Je veux faire un jus de fruits,Pour un jus maison : quels fruits avez-vous ? Passez-les au blender ou à l'extracteur !
Je veux faire du kombucha,Pour le kombucha : avez-vous du thé du sucre et une culture SCOBY ?
Je veux faire du kéfir,Pour le kéfir : avez-vous des grains de kéfir du lait et du sucre ?
Je veux faire un punch,Pour un punch : avez-vous des jus de fruits du sirop de la menthe et des fruits ?
Je veux faire un smoothie protéiné,Pour un smoothie protéiné : avez-vous du yaourt grec de la banane et du beurre de cacahuètes ?
Je veux faire un chai latte,Pour un chai latte : avez-vous du thé noir des épices (cannelle cardamome) et du lait ?
Je veux faire du vin chaud,Pour le vin chaud : avez-vous du vin rouge des épices orange et sucre ?
Je veux faire du cidre chaud,Pour du cidre chaud : avez-vous du cidre des épices (cannelle clous de girofle) et une orange ?
Je veux faire un lait chaud,Pour un lait chaud réconfortant : ajoutez miel cannelle et vanille à votre lait chauffé !
Je veux faire un golden latte,Pour un golden latte : avez-vous du lait du curcuma de la cannelle et du miel ?
Je veux faire un café frappé,Pour un café frappé : expresso glacé lait sucre mixés avec des glaçons !
Je veux faire de la grenadine maison,Pour la grenadine maison : faites réduire du jus de grenade avec du sucre jusqu'à consistance sirupeuse !
Je veux faire un sirop maison,Pour un sirop maison : faites bouillir parts égales eau et sucre ajoutez herbes ou fruits !
Je veux faire un fondant au chocolat,Pour un fondant : avez-vous du chocolat noir du beurre des œufs du sucre et de la farine ?
Je veux faire une tarte au citron,Pour une tarte au citron : avez-vous des citrons des œufs du sucre et de la pâte sablée ?
Je veux faire un Paris-Brest,Pour un Paris-Brest : avez-vous de la farine des œufs du beurre et de la pralinoise ?
Je veux faire des profiteroles,Pour des profiteroles : avez-vous de la farine du beurre des œufs de la crème et du chocolat ?
Je veux faire un mille-feuille,Pour un mille-feuille : avez-vous de la pâte feuilletée de la crème pâtissière et du sucre glace ?
Je veux faire des cannelés,Pour des cannelés : avez-vous du lait des œufs de la farine du beurre du rhum et de la vanille ?
Je veux faire des financiers,Pour des financiers : avez-vous de la poudre d'amandes du beurre noisette des blancs d'œufs et du sucre ?
Je veux faire des choux à la crème,Pour des choux : avez-vous de la farine du beurre des œufs et de la crème pour la garniture ?
Je veux faire une charlotte,Pour une charlotte : avez-vous des biscuits à la cuillère de la crème et des fruits ?
Je veux faire un bavarois,Pour un bavarois : avez-vous de la crème de la gélatine du sucre et des fruits ?
Je veux faire une panna cotta,Pour une panna cotta : avez-vous de la crème de la gélatine du sucre et de la vanille ?
Je veux faire une crème caramel,Pour une crème caramel : avez-vous des œufs du lait du sucre et de la vanille ?
Je veux faire des rochers au chocolat,Pour des rochers : avez-vous du chocolat des noisettes et de la pralinoise ?
Je veux faire des truffes au chocolat,Pour des truffes : avez-vous du chocolat noir et de la crème pour la ganache ?
Je veux faire des barres de céréales,Pour des barres de céréales : avez-vous de l'avoine du miel des noix et du beurre de cacahuètes ?
Je veux faire du caramel beurre salé,Pour du caramel beurre salé : avez-vous du sucre du beurre demi-sel et de la crème ?
Je veux faire de la guimauve,Pour de la guimauve : avez-vous de la gélatine du sucre de la vanille et du blanc d'œuf ?
Je veux faire de la pâte à tartiner,Pour une pâte à tartiner : avez-vous des noisettes du chocolat du sucre et de l'huile ?
Je veux faire des bonbons,Pour des bonbons maison : avez-vous du sucre de la gélatine et des arômes naturels ?
Je veux faire une glace à la vanille,Pour une glace vanille : avez-vous de la crème des jaunes d'œufs du sucre et de la vanille ?
Je veux faire un sorbet,Pour un sorbet : avez-vous des fruits du sucre et du jus de citron ?
Je veux faire du nougat,Pour du nougat : avez-vous du sucre du miel des blancs d'œufs et des amandes ?
Je veux faire du praliné,Pour du praliné : avez-vous des amandes ou noisettes et du sucre ?
Je veux faire des madeleines,Pour des madeleines : avez-vous de la farine du sucre du beurre des œufs et du miel ?
Je veux faire des palmiers,Pour des palmiers : avez-vous de la pâte feuilletée et du sucre ?
Je veux faire du pain d'épices,Pour du pain d'épices : avez-vous de la farine du miel des épices et des œufs ?
Je veux faire de la galette des rois,Pour la galette des rois : avez-vous de la pâte feuilletée de la poudre d'amandes et du beurre ?
Je veux faire une bûche de Noël,Pour une bûche : avez-vous des œufs de la farine du sucre de la crème et du chocolat ?
Je veux faire des spéculoos,Pour des spéculoos : avez-vous de la farine du beurre du sucre et des épices (cannelle muscade) ?
Je veux faire du naan au beurre,Pour du naan : avez-vous de la farine du yaourt de la levure du sel et du beurre ?
Recette végétarienne rapide,Pour une recette végétarienne rapide : omelette pasta aux légumes ou salade composée !
Recette vegan rapide,Pour une recette vegan rapide : riz sauté aux légumes houmous ou soupe de lentilles !
Je veux une recette sans viande,Pour une recette sans viande : listez vos légumes et féculents et je vous trouve quelque chose de délicieux !
Protéines végétales,Pour des protéines végétales : tofu tempeh légumineuses quinoa et edamame sont excellents !
Je veux manger plus de légumes,Excellent choix ! Listez vos légumes et je vous propose des recettes colorées et savoureuses !
Recette à base de tofu,Avec du tofu : tofu sauté aux légumes curry de tofu ou agedashi tofu. Quels légumes avez-vous ?
Recette à base de tempeh,Avec du tempeh : tempeh sauté mariné au tamari ou burger de tempeh. Quels ingrédients avez-vous ?
Recette à base de seitan,Avec du seitan : bourguignon de seitan kebab ou steak de seitan. Quels ingrédients avez-vous ?
Recette à base de légumineuses,Avec des légumineuses : dal de lentilles curry de pois chiches ou soupe de haricots !
Burger végétarien,Pour un burger végé : avez-vous des haricots noirs des champignons ou de la betterave ?
Recette vegan sans soja,Pour vegan sans soja : légumineuses quinoa avoine noix et graines sont parfaits !
Fromage végétalien maison,Pour du fromage vegan : noix de cajou citron et levure nutritionnelle créent une base crémeuse !
Recette végétarienne riche en protéines,Pour des protéines végétariennes : œufs fromage légumineuses quinoa et noix sont excellents !
Je deviens végétarien comment commencer ?,Commencez par remplacer la viande par des légumineuses tofu et céréales complètes progressivement !
Recette végane pour débutant,Pour débuter en vegan : pasta à la sauce tomate riz aux légumes ou curry de lentilles sont parfaits !
Recette vegan pour Noël,Pour un Noël vegan : rôti de seitan cake salé aux légumes et bûche vegan au chocolat !
Recette végétarienne pour enfants,Pour des enfants végétariens : gratin de légumes quiche et pizza végétarienne sont populaires !
Recette végétarienne pour sportifs,Pour des sportifs végétariens : quinoa bowl légumineuses et œufs apportent les protéines nécessaires !
Recette vegan saine,Pour une recette vegan saine : légumes variés protéines végétales et graines sont la base !
Manger végétarien est-il sain ?,Oui ! Une alimentation végétarienne bien planifiée est excellente pour la santé. Assurez-vous d'avoir B12 et fer !
Recette végétarienne avec du fromage,Avec du fromage : gratin de légumes quiche ou pizza végétarienne sont parfaits. Quels légumes ?
Recette végétarienne italienne,Pour l'italien végétarien : pasta al pomodoro risotto aux champignons ou parmigiana !
Recette végétarienne indienne,Pour l'indien végétarien : dal saag paneer ou biryani aux légumes. Quels ingrédients ?
Recette végétarienne mexicaine,Pour le mexicain végétarien : tacos aux haricots guacamole ou enchiladas aux légumes !
Recette végétarienne asiatique,Pour l'asiatique végétarien : fried rice tofu sauté ou ramen aux légumes. Quels ingrédients ?
Recette végétarienne pour barbecue,Pour un barbecue végétarien : légumes grillés burgers végé et corn on the cob sont parfaits !
Recette vegan sucrée,Pour un dessert vegan : tarte aux fruits mousse au chocolat vegan ou gâteau à la banane !
Recette végétarienne rapide le soir,Pour un soir rapide sans viande : omelette soupe de lentilles ou pasta primavera !
Recette végétarienne avec des œufs,Avec des œufs : shakshuka frittata ou omelette aux légumes sont rapides et délicieux !
Comment remplacer la viande dans une recette ?,Remplacez la viande par du tofu du tempeh des légumineuses ou des champignons Portobello !
Quelle est la différence entre mijoter et bouillir ?,Bouillir c'est à 100°C avec de grosses bulles. Mijoter c'est à 85-95°C avec de petites bulles régulières !
Qu'est-ce que la cuisson al dente ?,Al dente signifie que les pâtes sont cuites mais encore légèrement fermes sous la dent !
Comment savoir si l'huile est assez chaude ?,Plongez le bout d'une cuillère en bois : si des bulles se forment autour l'huile est prête !
Pourquoi saler l'eau de cuisson ?,Saler l'eau de cuisson des pâtes améliore leur saveur de l'intérieur pendant la cuisson !
Comment éviter que les pâtes collent ?,Utilisez assez d'eau et remuez les premières minutes. N'ajoutez pas d'huile dans l'eau !
Pourquoi laisser reposer la viande ?,Le repos permet aux jus de se redistribuer dans toute la viande pour plus de jutosité !
Comment éviter que le poisson colle ?,Séchez bien le poisson avant la cuisson utilisez une poêle bien chaude et ne bougez pas trop tôt !
Qu'est-ce que la réaction de Maillard ?,La réaction de Maillard est le brunissement des aliments lors de la cuisson à haute température qui crée des saveurs complexes !
Pourquoi utiliser du beurre clarifié ?,Le beurre clarifié supporte mieux la chaleur car les protéines du lait qui brûlent ont été retirées !
Comment savoir si la levure est active ?,Mélangez la levure dans de l'eau tiède sucrée : si elle mousse après 10 min elle est active !
Pourquoi tamiser la farine ?,Tamiser la farine l'aère et élimine les grumeaux ce qui donne des préparations plus légères !
Comment éviter que le caramel cristallise ?,Ajoutez quelques gouttes de jus de citron ou de la crème de tartre pour éviter la cristallisation !
Qu'est-ce que le bain-marie ?,Le bain-marie consiste à placer un récipient dans un autre contenant de l'eau chaude pour une cuisson douce !
Comment faire la pâte à choux ?,Faites bouillir eau beurre sel ajoutez farine hors feu puis incorporez les œufs un à un !
Qu'est-ce que le confit ?,Le confit consiste à cuire lentement un aliment immergé dans sa propre graisse ou dans du sucre !
Comment pocher correctement ?,Pour pocher : maintenez le liquide à 80-90°C sans ébullition et plongez délicatement l'aliment !
Qu'est-ce que la cuisson en papillote ?,La papillote consiste à envelopper l'aliment dans du papier aluminium ou sulfurisé et de cuire à la vapeur !
Comment faire un fond de veau ?,Un fond de veau : faites rôtir des os avec légumes puis mijotez 6-8h et filtrez !
Qu'est-ce que la clarification ?,La clarification consiste à rendre un bouillon transparent en ajoutant des blancs d'œufs qui coagulent !
Comment faire une julienne de légumes ?,Coupez les légumes en fines tranches puis en bâtonnets réguliers de 3-4mm d'épaisseur !
Qu'est-ce que le dégorger ?,Dégorger consiste à saupoudrer de sel des légumes pour en extraire l'excès d'eau !
Comment faire une liaison à la fécule ?,Délayez la fécule dans de l'eau froide puis versez dans la sauce chaude en fouettant !
Qu'est-ce que la cuisson sous vide ?,La cuisson sous vide consiste à cuire dans des sacs hermétiques dans un bain d'eau à température précise !
Comment faire du beurre noisette ?,Faites fondre le beurre à feu moyen jusqu'à ce qu'il prenne une couleur dorée et une odeur de noisette !
Qu'est-ce que la gastrique ?,Une gastrique est une réduction de vinaigre et sucre utilisée comme base pour les sauces sucrées-salées !
Comment faire une émulsion ?,Une émulsion mélange deux liquides normalement non miscibles comme huile et vinaigre grâce à un émulsifiant !
Qu'est-ce que la cuisson à l'étouffée ?,Cuire à l'étouffée c'est cuire à feu doux dans un récipient fermé avec très peu de liquide !
Comment faire un velouté ?,Un velouté est une soupe crémeuse mixée et passée au tamis pour une texture très lisse !
Qu'est-ce que la macération ?,La macération consiste à laisser des aliments tremper dans un liquide pour en extraire les arômes !
Comment faire un coulis ?,Un coulis est une sauce obtenue en mixant et filtrant des fruits ou légumes crus ou cuits !
Qu'est-ce que la cuisson à blanc ?,Cuire à blanc c'est précuire une pâte sans garniture pour qu'elle garde sa forme !
Comment faire un fumet de poisson ?,Un fumet : faites suer arêtes de poisson légumes aromates ajoutez eau et vin blanc et mijotez 20-25 min !
Qu'est-ce que la liaison au jaune d'œuf ?,Le jaune d'œuf épaissit les sauces quand ajouté hors du feu en mélangeant vigoureusement !
Comment faire une ganache ?,Ganache : versez de la crème chaude sur du chocolat haché et mélangez jusqu'à consistance homogène !
Qu'est-ce que le feuilletage ?,Le feuilletage crée des couches de pâte par pliages successifs du beurre dans la pâte !
Comment faire de la pâte sablée ?,Pâte sablée : sablez farine et beurre froid ajoutez sucre œuf et formez une boule sans trop travailler !
Qu'est-ce que le fraisage ?,Le fraisage consiste à écraser la pâte avec la paume pour homogénéiser sans trop développer le gluten !
Comment faire un appareil à quiche ?,Appareil à quiche : battez 3 œufs avec 20cl de crème sel poivre et muscade puis versez sur la garniture !
Qu'est-ce que blanchir ?,Blanchir c'est plonger brièvement dans l'eau bouillante puis dans l'eau glacée pour fixer couleur et texture !
Comment faire un rôti parfait ?,Saisissez le rôti de toutes parts à feu vif enfournez à 200°C et comptez 15-20 min par 500g !
